div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time
0.9936577187474668,0.6192158460216103,0.5083228266333027,1.94519610344837,3.00000000006,2.03733050668109,3.98252661012946,0.2064052820030753,1504.0,0.0,0.0,3.00000000006
1.1590682244913506,0.7222073666928345,0.5139535839486064,2.5691862225455804,3.66666666674,2.04683382444673,4.61602004699231,0.1969656454577428,1504.0,1.0,3.166666666673,6.83333333347
0.8567082089967596,0.47534705410844336,0.5123694169507449,1.5894747670415201,2.00000000004,2.3651075001104,3.95458226715192,0.2376735270494682,1504.0,2.0,7.000000000014,9.00000000018
1.0193326705990495,0.5406937475324577,0.5690148267493824,1.7808189598699804,1.83333333337,2.25021594360963,4.03103490347961,0.294923862284533,1504.0,3.0,9.166666666685,11.00000000022
1.1467830967103143,0.7786345834000274,0.4897624345840959,2.64847322133807,2.16666666671,1.97424946822164,4.62272268955971,0.3593698077159022,1504.0,4.0,11.166666666689,13.333333333599999
0.8795744361081407,0.4534783844214011,0.5179919545474415,1.6714955416579498,1.1666666666899999,2.39453316129584,4.06602870295379,0.3886957580677128,1504.0,5.0,13.500000000027,14.66666666696
0.9322137993831541,0.6113198598779892,0.4744390376697432,1.8613253206145601,2.00000000004,1.92908274496695,3.79040806558151,0.3056599299328814,1504.0,6.0,14.833333333363,16.833333333669998
1.0630959483998537,0.5912357037137196,0.5592885649406927,1.9096355697631204,1.33333333336,2.11993188753871,4.02956745730183,0.4434267777764212,1504.0,7.0,17.000000000034,18.3333333337
1.0627091455809203,0.6111832190454961,0.5458638923099388,2.0826628130416696,1.6666666666999999,2.19959537656824,4.28225818960991,0.3667099314199635,1504.0,8.0,18.500000000037,20.16666666707
1.2764838730745107,0.7160961510911739,0.5495269570969809,3.1130172069383404,2.00000000004,2.35321631243996,5.4662335193783,0.358048075538426,1504.0,9.0,20.333333333374,22.333333333779997
0.9510190436542177,0.5839159871785574,0.5066346751680515,2.4291087305068397,1.50000000003,2.76938344348294,5.19849217398978,0.3892773247779194,1504.0,10.0,22.500000000045,24.00000000048
0.8535260948222354,0.4621820629486672,0.5200421266336016,1.7336137987796696,1.1666666666899999,2.70343492544978,4.43704872422945,0.3961560539480774,1504.0,11.0,24.166666666715,25.33333333384
0.8195413984709099,0.5144821439857998,0.479111367579895,1.51050463425437,1.1666666666899999,2.1258404822842,3.63634511653857,0.4409846948361516,1504.0,12.0,25.500000000051,26.666666667199998
1.2300645074567542,0.7384317982765063,0.5712083586965744,2.3958283390454898,2.16666666671,2.0771107256723,4.47293906471779,0.340814676120802,1504.0,13.0,26.833333333387,29.00000000058
0.9585733255621893,0.5861237445494715,0.5022407765161065,2.04114768513047,1.83333333337,2.24649238917309,4.28764007430356,0.319703860656954,1504.0,14.0,29.166666666725,31.00000000062
0.9259117577467697,0.5325921339253327,0.507127289573802,1.7955970682343199,1.50000000003,2.17437928954958,3.9699763577839,0.3550614226097872,1504.0,15.0,31.166666666729,32.66666666732
,,0.5535260021940229,,,2.19748514212891,,,1504.0,16.0,32.833333333399,
1.1960113172672422,,0.5787650046676065,1.87653205198165,3.50000000007,1.75954243817173,3.63607449015338,,1505.0,0.0,0.0,3.50000000007
1.0705676427334458,,0.5545422387699308,1.87630680762283,3.3333333333999997,2.01635688810389,3.89266369572672,,1505.0,1.0,3.666666666674,7.00000000014
1.1381504301502583,0.7006182744908721,0.5288766268830641,2.3716980147355504,3.00000000006,2.05873884498611,4.43043685972166,0.2335394248256199,1505.0,2.0,7.166666666681,10.16666666687
0.9449618608543201,0.49514713840846375,0.5492328464317452,1.7532524119591004,1.50000000003,2.43334144740105,4.18659385936015,0.3300980922657072,1505.0,3.0,10.333333333354,11.83333333357
1.0967252322268846,0.6929757612555857,0.5043251476095659,2.4801385565433,2.00000000004,2.11140456610311,4.59154312264641,0.3464878806208631,1505.0,4.0,12.000000000024,14.00000000028
0.9678625771811434,0.5174500829059293,0.5395324004990606,1.9666964769665394,1.33333333336,2.47728628295637,4.44398275992291,0.3880875621716853,1505.0,5.0,14.166666666695,15.50000000031
1.1110169633715048,0.5849647118688768,0.5948174608376214,2.29398168994136,1.6666666666999999,2.64335854126351,4.93734023120487,0.3509788271143065,1505.0,6.0,15.666666666698001,17.33333333368
1.0733080493026919,0.5402636223539322,0.5839863513177179,2.41594770546269,1.6666666666999999,2.88333930683551,5.2992870122982,0.3241581734058762,1505.0,7.0,17.500000000035,19.16666666705
0.9438910312276348,0.4809796014958356,0.5675853229185477,1.9941519526960203,1.50000000003,3.00779753011334,5.00194948280936,0.3206530676574773,1505.0,8.0,19.333333333372,20.833333333749998
1.07690375638096,0.6892012523588574,0.4979001073708583,2.8961470027108103,2.8333333333899997,2.49047118455439,5.3866181872652,0.243247500827673,1505.0,9.0,21.000000000042,23.83333333381
0.7700434727005879,0.39244894312585754,0.5311169731075664,1.2870058281273806,1.1666666666899999,2.86092434690646,4.14793017503384,0.3363848083868645,1505.0,10.0,24.000000000048,25.16666666717
1.0884803970853958,0.6577802973962463,0.5509622941510739,2.2295875587882197,2.66666666672,2.28535312521511,4.51494068400333,0.246667611518659,1505.0,11.0,25.333333333384,28.00000000056
1.024411344828786,0.5735335879389527,0.5265192781513555,2.24795314808443,1.83333333337,2.37720330983762,4.62515645792205,0.3128365025058993,1505.0,12.0,28.166666666723,30.0000000006
,,0.5361645985870093,,,2.47984515566389,,,1505.0,13.0,30.166666666727,
